Buying price,Maintaince Cost,Number of doors,Number of passengers,Trunk size,Safety standards,Acceptability
F1-vhigh,F2-vhigh,F3-2,F4-2,F5-small,F6-low,F7-unacc
F1-vhigh,F2-vhigh,F3-2,F4-2,F5-small,F6-med,F7-unacc
F1-vhigh,F2-vhigh,F3-2,F4-2,F5-small,F6-high,F7-unacc
F1-vhigh,F2-vhigh,F3-2,F4-2,F5-med,F6-low,F7-unacc
F1-vhigh,F2-vhigh,F3-2,F4-2,F5-med,F6-med,F7-unacc
F1-vhigh,F2-vhigh,F3-2,F4-2,F5-med,F6-high,F7-unacc
F1-vhigh,F2-vhigh,F3-2,F4-2,F5-big,F6-low,F7-unacc
F1-vhigh,F2-vhigh,F3-2,F4-2,F5-big,F6-med,F7-unacc
F1-vhigh,F2-vhigh,F3-2,F4-2,F5-big,F6-high,F7-unacc
F1-vhigh,F2-vhigh,F3-2,F4-4,F5-small,F6-low,F7-unacc
F1-vhigh,F2-vhigh,F3-2,F4-4,F5-small,F6-med,F7-unacc
F1-vhigh,F2-vhigh,F3-2,F4-4,F5-small,F6-high,F7-unacc
F1-vhigh,F2-vhigh,F3-2,F4-4,F5-med,F6-low,F7-unacc
F1-vhigh,F2-vhigh,F3-2,F4-4,F5-med,F6-med,F7-unacc
F1-vhigh,F2-vhigh,F3-2,F4-4,F5-med,F6-high,F7-unacc
F1-vhigh,F2-vhigh,F3-2,F4-4,F5-big,F6-low,F7-unacc
F1-vhigh,F2-vhigh,F3-2,F4-4,F5-big,F6-med,F7-unacc
F1-vhigh,F2-vhigh,F3-2,F4-4,F5-big,F6-high,F7-unacc
F1-vhigh,F2-vhigh,F3-2,F4-more,F5-small,F6-low,F7-unacc
F1-vhigh,F2-vhigh,F3-2,F4-more,F5-small,F6-med,F7-unacc
F1-vhigh,F2-vhigh,F3-2,F4-more,F5-small,F6-high,F7-unacc
F1-vhigh,F2-vhigh,F3-2,F4-more,F5-med,F6-low,F7-unacc
F1-vhigh,F2-vhigh,F3-2,F4-more,F5-med,F6-med,F7-unacc
F1-vhigh,F2-vhigh,F3-2,F4-more,F5-med,F6-high,F7-unacc
F1-vhigh,F2-vhigh,F3-2,F4-more,F5-big,F6-low,F7-unacc
F1-vhigh,F2-vhigh,F3-2,F4-more,F5-big,F6-med,F7-unacc
F1-vhigh,F2-vhigh,F3-2,F4-more,F5-big,F6-high,F7-unacc
F1-vhigh,F2-vhigh,F3-3,F4-2,F5-small,F6-low,F7-unacc
F1-vhigh,F2-vhigh,F3-3,F4-2,F5-small,F6-med,F7-unacc
F1-vhigh,F2-vhigh,F3-3,F4-2,F5-small,F6-high,F7-unacc
F1-vhigh,F2-vhigh,F3-3,F4-2,F5-med,F6-low,F7-unacc
F1-vhigh,F2-vhigh,F3-3,F4-2,F5-med,F6-med,F7-unacc
F1-vhigh,F2-vhigh,F3-3,F4-2,F5-med,F6-high,F7-unacc
F1-vhigh,F2-vhigh,F3-3,F4-2,F5-big,F6-low,F7-unacc
F1-vhigh,F2-vhigh,F3-3,F4-2,F5-big,F6-med,F7-unacc
F1-vhigh,F2-vhigh,F3-3,F4-2,F5-big,F6-high,F7-unacc
F1-vhigh,F2-vhigh,F3-3,F4-4,F5-small,F6-low,F7-unacc
F1-vhigh,F2-vhigh,F3-3,F4-4,F5-small,F6-med,F7-unacc
F1-vhigh,F2-vhigh,F3-3,F4-4,F5-small,F6-high,F7-unacc
F1-vhigh,F2-vhigh,F3-3,F4-4,F5-med,F6-low,F7-unacc
F1-vhigh,F2-vhigh,F3-3,F4-4,F5-med,F6-med,F7-unacc
F1-vhigh,F2-vhigh,F3-3,F4-4,F5-med,F6-high,F7-unacc
F1-vhigh,F2-vhigh,F3-3,F4-4,F5-big,F6-low,F7-unacc
F1-vhigh,F2-vhigh,F3-3,F4-4,F5-big,F6-med,F7-unacc
F1-vhigh,F2-vhigh,F3-3,F4-4,F5-big,F6-high,F7-unacc
F1-vhigh,F2-vhigh,F3-3,F4-more,F5-small,F6-low,F7-unacc
F1-vhigh,F2-vhigh,F3-3,F4-more,F5-small,F6-med,F7-unacc
F1-vhigh,F2-vhigh,F3-3,F4-more,F5-small,F6-high,F7-unacc
F1-vhigh,F2-vhigh,F3-3,F4-more,F5-med,F6-low,F7-unacc
F1-vhigh,F2-vhigh,F3-3,F4-more,F5-med,F6-med,F7-unacc
F1-vhigh,F2-vhigh,F3-3,F4-more,F5-med,F6-high,F7-unacc
F1-vhigh,F2-vhigh,F3-3,F4-more,F5-big,F6-low,F7-unacc
F1-vhigh,F2-vhigh,F3-3,F4-more,F5-big,F6-med,F7-unacc
F1-vhigh,F2-vhigh,F3-3,F4-more,F5-big,F6-high,F7-unacc
F1-vhigh,F2-vhigh,F3-4,F4-2,F5-small,F6-low,F7-unacc
F1-vhigh,F2-vhigh,F3-4,F4-2,F5-small,F6-med,F7-unacc
F1-vhigh,F2-vhigh,F3-4,F4-2,F5-small,F6-high,F7-unacc
F1-vhigh,F2-vhigh,F3-4,F4-2,F5-med,F6-low,F7-unacc
F1-vhigh,F2-vhigh,F3-4,F4-2,F5-med,F6-med,F7-unacc
F1-vhigh,F2-vhigh,F3-4,F4-2,F5-med,F6-high,F7-unacc
F1-vhigh,F2-vhigh,F3-4,F4-2,F5-big,F6-low,F7-unacc
F1-vhigh,F2-vhigh,F3-4,F4-2,F5-big,F6-med,F7-unacc
F1-vhigh,F2-vhigh,F3-4,F4-2,F5-big,F6-high,F7-unacc
F1-vhigh,F2-vhigh,F3-4,F4-4,F5-small,F6-low,F7-unacc
F1-vhigh,F2-vhigh,F3-4,F4-4,F5-small,F6-med,F7-unacc
F1-vhigh,F2-vhigh,F3-4,F4-4,F5-small,F6-high,F7-unacc
F1-vhigh,F2-vhigh,F3-4,F4-4,F5-med,F6-low,F7-unacc
F1-vhigh,F2-vhigh,F3-4,F4-4,F5-med,F6-med,F7-unacc
F1-vhigh,F2-vhigh,F3-4,F4-4,F5-med,F6-high,F7-unacc
F1-vhigh,F2-vhigh,F3-4,F4-4,F5-big,F6-low,F7-unacc
F1-vhigh,F2-vhigh,F3-4,F4-4,F5-big,F6-med,F7-unacc
F1-vhigh,F2-vhigh,F3-4,F4-4,F5-big,F6-high,F7-unacc
F1-vhigh,F2-vhigh,F3-4,F4-more,F5-small,F6-low,F7-unacc
F1-vhigh,F2-vhigh,F3-4,F4-more,F5-small,F6-med,F7-unacc
F1-vhigh,F2-vhigh,F3-4,F4-more,F5-small,F6-high,F7-unacc
F1-vhigh,F2-vhigh,F3-4,F4-more,F5-med,F6-low,F7-unacc
