usual,proper,complete,1,convenient,convenient.1,nonprob,recommended,recommend
F1-usual,F2-proper,F3-complete,F4-1,F5-convenient,F6-convenient,F7-nonprob,F8-priority,F9-priority
F1-usual,F2-proper,F3-complete,F4-1,F5-convenient,F6-convenient,F7-nonprob,F8-not_recom,F9-not_recom
F1-usual,F2-proper,F3-complete,F4-1,F5-convenient,F6-convenient,F7-slightly_prob,F8-recommended,F9-recommend
F1-usual,F2-proper,F3-complete,F4-1,F5-convenient,F6-convenient,F7-slightly_prob,F8-priority,F9-priority
F1-usual,F2-proper,F3-complete,F4-1,F5-convenient,F6-convenient,F7-slightly_prob,F8-not_recom,F9-not_recom
F1-usual,F2-proper,F3-complete,F4-1,F5-convenient,F6-convenient,F7-problematic,F8-recommended,F9-priority
F1-usual,F2-proper,F3-complete,F4-1,F5-convenient,F6-convenient,F7-problematic,F8-priority,F9-priority
F1-usual,F2-proper,F3-complete,F4-1,F5-convenient,F6-convenient,F7-problematic,F8-not_recom,F9-not_recom
F1-usual,F2-proper,F3-complete,F4-1,F5-convenient,F6-inconv,F7-nonprob,F8-recommended,F9-very_recom
F1-usual,F2-proper,F3-complete,F4-1,F5-convenient,F6-inconv,F7-nonprob,F8-priority,F9-priority
F1-usual,F2-proper,F3-complete,F4-1,F5-convenient,F6-inconv,F7-nonprob,F8-not_recom,F9-not_recom
F1-usual,F2-proper,F3-complete,F4-1,F5-convenient,F6-inconv,F7-slightly_prob,F8-recommended,F9-very_recom
F1-usual,F2-proper,F3-complete,F4-1,F5-convenient,F6-inconv,F7-slightly_prob,F8-priority,F9-priority
F1-usual,F2-proper,F3-complete,F4-1,F5-convenient,F6-inconv,F7-slightly_prob,F8-not_recom,F9-not_recom
F1-usual,F2-proper,F3-complete,F4-1,F5-convenient,F6-inconv,F7-problematic,F8-recommended,F9-priority
F1-usual,F2-proper,F3-complete,F4-1,F5-convenient,F6-inconv,F7-problematic,F8-priority,F9-priority
